Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.30883","15.64026","7.44000"
"0.30960","15.68557","7.46000"
"0.31024","15.72256","7.48000"
"0.31103","15.75416","7.50000"
"0.31204","15.79299","7.52000"
"0.31315","15.84414","7.54000"
"0.31420","15.90053","7.56000"
"0.31492","15.95060","7.58000"
"0.31544","15.98300","7.60000"
"0.31613","16.00429","7.62000"
"0.31704","16.03379","7.64000"
"0.31794","16.07672","7.66000"
"0.31885","16.12299","7.68000"
"0.31967","16.16733","7.70000"
"0.32029","16.20279","7.72000"
"0.32101","16.22934","7.74000"
"0.32199","16.26094","7.76000"
"0.32307","16.30575","7.78000"
"0.32417","16.35736","7.80000"
"0.32499","16.40534","7.82000"
"0.32552","16.43721","7.84000"
"0.32615","16.45552","7.86000"
"0.32704","16.47936","7.88000"
"0.32795","16.51754","7.90000"
"0.32883","16.55941","7.92000"
"0.32967","16.59838","7.94000"
"0.33032","16.63047","7.96000"
"0.33102","16.65440","7.98000"
"0.33196","16.68171","8.00000"
"0.33306","16.72125","8.02000"
"0.33418","16.76900","8.04000"
"0.33508","16.81440","8.06000"
"0.33564","16.84511","8.08000"
"0.33622","16.86009","8.10000"
"0.33705","16.87723","8.12000"
"0.33795","16.90875","8.14000"
"0.33881","16.94611","8.16000"
"0.33968","16.98149","8.18000"
"0.34037","17.01212","8.20000"
"0.34104","17.03361","8.22000"
"0.34193","17.05521","8.24000"
"0.34297","17.08821","8.26000"
"0.34404","17.12869","8.28000"
"0.34503","17.16907","8.30000"
"0.34568","17.20041","8.32000"
"0.34621","17.21586","8.34000"
"0.34697","17.22752","8.36000"
"0.34790","17.25230","8.38000"
"0.34878","17.28719","8.40000"
"0.34967","17.32113","8.42000"
"0.35041","17.35061","8.44000"
"0.35108","17.37132","8.46000"
"0.35191","17.38995","8.48000"
"0.35296","17.41837","8.50000"
"0.35404","17.45632","8.52000"
"0.35506","17.49448","8.54000"
"0.35575","17.52389","8.56000"
"0.35627","17.53784","8.58000"
"0.35701","17.54625","8.60000"
"0.35792","17.56742","8.62000"
"0.35878","17.59953","8.64000"
"0.35965","17.63017","8.66000"
"0.36045","17.65676","8.68000"
"0.36114","17.67744","8.70000"
"0.36192","17.69452","8.72000"
"0.36293","17.71808","8.74000"
"0.36398","17.75144","8.76000"
"0.36500","17.78589","8.78000"
"0.36578","17.81441","8.80000"
"0.36633","17.82973","8.82000"
"0.36701","17.83679","8.84000"
"0.36792","17.85305","8.86000"
"0.36880","17.88160","8.88000"
"0.36965","17.91071","8.90000"
"0.37050","17.93616","8.92000"
"0.37120","17.95699","8.94000"
"0.37195","17.97212","8.96000"
"0.37292","17.99116","8.98000"
"0.37397","18.02059","9.00000"
"0.37499","18.05282","9.02000"
"0.37583","18.07995","9.04000"
"0.37640","18.09545","9.06000"
"0.37701","18.10027","9.08000"
"0.37787","18.11054","9.10000"
"0.37878","18.13584","9.12000"
"0.37965","18.16473","9.14000"
"0.38052","18.18993","9.16000"
"0.38124","18.21025","9.18000"
"0.38194","18.22376","9.20000"
"0.38283","18.23812","9.22000"
"0.38388","18.26210","9.24000"
"0.38493","18.29287","9.26000"
"0.38586","18.32126","9.28000"
"0.38650","18.33933","9.30000"
"0.38707","18.34481","9.32000"
"0.38787","18.35065","9.34000"
"0.38881","18.37063","9.36000"
"0.38967","18.39790","9.38000"
"0.39055","18.42203","9.40000"
"0.39128","18.44162","9.42000"
"0.39194","18.45359","9.44000"
"0.39275","18.46377","9.46000"
"0.39379","18.48397","9.48000"
"0.39486","18.51406","9.50000"
"0.39584","18.54277","9.52000"
"0.39656","18.56183","9.54000"
"0.39712","18.56810","9.56000"
"0.39783","18.57063","9.58000"
"0.39877","18.58508","9.60000"
"0.39967","18.61117","9.62000"
"0.40054","18.63599","9.64000"
"0.40134","18.65621","9.66000"
"0.40197","18.66851","9.68000"
"0.40270","18.67595","9.70000"
"0.40369","18.69045","9.72000"
"0.40479","18.71777","9.74000"
"0.40584","18.74796","9.76000"
"0.40666","18.77036","9.78000"
"0.40722","18.77871","9.80000"
"0.40787","18.77823","9.82000"
"0.40876","18.78620","9.84000"
"0.40965","18.80805","9.86000"
"0.41051","18.83167","9.88000"
"0.41135","18.85154","9.90000"
"0.41203","18.86578","9.92000"
"0.41272","18.87338","9.94000"
"0.41364","18.88450","9.96000"
"0.41472","18.90727","9.98000"
"0.41582","18.93592","10.00000"
"0.41673","18.96045","10.02000"
"0.41731","18.97090","10.04000"
"0.41791","18.96889","10.06000"
"0.41875","18.97220","10.08000"
"0.41966","18.99067","10.10000"
"0.42052","19.01403","10.12000"
"0.42140","19.03395","10.14000"
"0.42212","19.04974","10.16000"
"0.42278","19.05725","10.18000"
"0.42364","19.06436","10.20000"
"0.42470","19.08279","10.22000"
"0.42578","19.10990","10.24000"
"0.42672","19.13434","10.26000"
"0.42736","19.14680","10.28000"
"0.42791","19.14550","10.30000"
"0.42867","19.14485","10.32000"
"0.42961","19.15929","10.34000"
"0.43049","19.18270","10.36000"
"0.43138","19.20339","10.38000"
"0.43214","19.21960","10.40000"
"0.43279","19.22764","10.42000"
"0.43359","19.23301","10.44000"
"0.43460","19.24777","10.46000"
"0.43569","19.27317","10.48000"
"0.43670","19.29850","10.50000"
"0.43743","19.31375","10.52000"
"0.43799","19.31506","10.54000"
"0.43870","19.31259","10.56000"
"0.43962","19.32201","10.58000"
"0.44050","19.34301","10.60000"
"0.44136","19.36302","10.62000"
"0.44216","19.37872","10.64000"
"0.44281","19.38786","10.66000"
"0.44354","19.39225","10.68000"
"0.44451","19.40330","10.70000"
"0.44561","19.42630","10.72000"
"0.44667","19.45238","10.74000"
"0.44748","19.47094","10.76000"
"0.44805","19.47420","10.78000"
"0.44869","19.46902","10.80000"
"0.44958","19.47332","10.82000"
"0.45050","19.49298","10.84000"
"0.45138","19.51473","10.86000"
"0.45221","19.53149","10.88000"
