Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.55027","7.41842","11.04000"
"0.55142","7.43525","11.06000"
"0.55269","7.45605","11.08000"
"0.55385","7.48063","11.10000"
"0.55465","7.50389","11.12000"
"0.55545","7.52076","11.14000"
"0.55644","7.53576","11.16000"
"0.55746","7.55311","11.18000"
"0.55851","7.57234","11.20000"
"0.55939","7.59204","11.22000"
"0.56024","7.60946","11.24000"
"0.56134","7.62624","11.26000"
"0.56259","7.64633","11.28000"
"0.56381","7.67051","11.30000"
"0.56467","7.69432","11.32000"
"0.56545","7.71248","11.34000"
"0.56643","7.72779","11.36000"
"0.56747","7.74479","11.38000"
"0.56854","7.76391","11.40000"
"0.56946","7.78379","11.42000"
"0.57031","7.80195","11.44000"
"0.57139","7.81891","11.46000"
"0.57261","7.83841","11.48000"
"0.57381","7.86172","11.50000"
"0.57470","7.88536","11.52000"
"0.57546","7.90380","11.54000"
"0.57643","7.91847","11.56000"
"0.57749","7.93507","11.58000"
"0.57857","7.95454","11.60000"
"0.57952","7.97496","11.62000"
"0.58034","7.99346","11.64000"
"0.58135","8.00989","11.66000"
"0.58256","8.02823","11.68000"
"0.58379","8.05088","11.70000"
"0.58475","8.07475","11.72000"
"0.58549","8.09420","11.74000"
"0.58640","8.10886","11.76000"
"0.58745","8.12455","11.78000"
"0.58853","8.14374","11.80000"
"0.58954","8.16450","11.82000"
"0.59034","8.18379","11.84000"
"0.59126","8.20010","11.86000"
"0.59243","8.21755","11.88000"
"0.59369","8.23930","11.90000"
"0.59480","8.26372","11.92000"
"0.59558","8.28578","11.94000"
"0.59645","8.30240","11.96000"
"0.59746","8.31801","11.98000"
"0.59849","8.33607","12.00000"
"0.59952","8.35606","12.02000"
"0.60035","8.37571","12.04000"
"0.60123","8.39250","12.06000"
"0.60239","8.40942","12.08000"
"0.60366","8.43068","12.10000"
"0.60485","8.45562","12.12000"
"0.60567","8.47909","12.14000"
"0.60649","8.49682","12.16000"
"0.60749","8.51249","12.18000"
"0.60848","8.53012","12.20000"
"0.60951","8.54928","12.22000"
"0.61038","8.56847","12.24000"
"0.61124","8.58536","12.26000"
"0.61236","8.60191","12.28000"
"0.61363","8.62222","12.30000"
"0.61487","8.64664","12.32000"
"0.61575","8.67122","12.34000"
"0.61652","8.69004","12.36000"
"0.61746","8.70490","12.38000"
"0.61844","8.72095","12.40000"
"0.61947","8.73881","12.42000"
